nome,cpf,idade,sexo,cidade,estado
Valentina Daniela Rocha,061.681.673-15,50,Feminino,Sete Lagoas,MG
Emily Francisca Jesus,544.772.817-73,48,Feminino,Feira de Santana,BA
Antonella Andrea Priscila Fernandes,509.429.055-04,31,Feminino,Recife,PE
Rafael Martin Thomas Moreira,569.532.167-00,43,Masculino,Belem,PA
Roberto Theo Galvao,665.947.051-48,54,Masculino,Brasilia,DF
Sophie Lucia Bruna Bernardes,449.916.493-15,60,Feminino,Sapucaia,ES
Luiz Benicio Arthur Costa,061.163.625-59,30,Masculino,Varzea Grande,MT
Heloisa Barbara Livia Moraes,646.999.390-74,14,Feminino,Brasilia,DF
Rafael Erick Otavio Baptista,768.844.304-00,31,Masculino,Aracaju,SE
Catarina Helena Adriana Galvao,686.741.398-68,74,Feminino,Sao Luis,MA
Andre Arthur Caldeira,152.726.332-02,8,Masculino,Varzea Grande,MT
Maite Barbara Viana,765.953.791-12,52,Feminino,Boa Vista,RR
Guilherme Sebastiao Raimundo da Costa,263.266.382-24,53,Masculino,Rio de Janeiro,RJ
Yasmin Valentina Isis Nogueira,432.362.604-59,47,Feminino,Palmas,TO
Pietra Aline Sophia Nunes,912.652.200-42,54,Feminino,Paulista,PE
Julio Ruan Elias Campos,154.641.180-12,20,Masculino,Contagem,MG
Antonella Eliane Santos,447.417.507-79,65,Feminino,Manaus,AM
Marcia Caroline Sara Nunes,214.565.496-85,49,Feminino,Chapeco,SC
Thales Erick Alves,502.376.619-50,39,Masculino,Vila Velha,ES
Caleb Filipe Noah Souza,830.692.913-68,28,Masculino,Fortaleza,CE
Debora Jessica Sara Silveira,991.902.368-07,74,Feminino,Boa Vista,RR
Breno Theo Teixeira,951.886.065-34,74,Masculino,Rio Branco,AC
Benicio Rodrigo Manuel Baptista,068.752.015-00,62,Masculino,Arapiraca,AL
Malu Caroline Cavalcanti,892.579.995-21,9,Feminino,Sao Luis,MA
Kamilly Allana da Luz,771.082.527-32,46,Feminino,Aparecida de Goiania,GO
Heloise Sarah Barbosa,719.929.853-67,42,Feminino,Rio Branco,AC
Sandra Helena Ana Viana,958.669.509-36,43,Feminino,Brasilia,DF
Ian Oliver Giovanni Fernandes,925.766.683-21,45,Masculino,Manaus,AM
Otavio Lucas Diogo da Conceicao,780.494.099-88,49,Masculino,Brusque,SC
Larissa Clarice dos Santos,490.476.222-35,55,Feminino,Campo Grande,MS
Samuel Daniel da Conceicao,166.526.478-00,79,Masculino,Teresina,PI
Malu Clarice Melo,037.400.848-55,18,Feminino,Telemaco Borba,PR
Milena Carolina Antonella Silva,194.991.146-29,40,Feminino,Maceio,AL
Maya Sonia Porto,203.689.706-12,15,Feminino,Palmas,TO
Bento Luiz Freitas,965.302.179-67,10,Masculino,Aracaju,SE
Beatriz Isabela Andrea Moreira,460.169.999-11,34,Feminino,Serra,ES
Lucas Luan Barbosa,848.839.493-46,5,Masculino,Campo Grande,MS
Julio Luis da Rosa,442.287.278-83,43,Masculino,Ponta Pora,MS
Natalia Heloise Jennifer Barbosa,076.129.910-63,71,Feminino,Palhoca,SC
Bruno Felipe Alves,894.907.653-50,75,Masculino,Londrina,PR
Renato Cesar Davi da Rocha,400.548.663-08,75,Masculino,Brasilia,DF
Thales Thiago Ruan Campos,621.983.477-17,77,Masculino,Maceio,AL
Elza Natalia Ester Lopes,875.929.448-55,35,Feminino,Santana do Livramento,RS
Isabelly Beatriz Sara Pinto,184.766.225-03,38,Feminino,Porto Velho,RO
Victor Gustavo Claudio Brito,329.086.767-61,18,Masculino,Salvador,BA
Isabella Rebeca Almada,561.157.074-71,4,Feminino,Boa Vista,RR
Claudia Milena Moura,785.017.578-61,36,Feminino,Ananindeua,PA
Renata Kamilly Ferreira,354.561.963-01,33,Feminino,Cambe,PR
Eduarda Isabel Giovanna Farias,304.632.572-00,8,Feminino,Arcoverde,PE
Caroline Fernanda da Luz,583.152.110-99,7,Feminino,Aracaju,SE
Nicolas Lorenzo da Paz,028.127.501-70,65,Masculino,Rio Branco,AC
Marli Sabrina Malu Brito,836.475.310-06,87,Feminino,Porto Velho,RO
Geraldo Diogo Monteiro,692.603.605-52,86,Masculino,Novo Hamburgo,RS
Kamilly Ester Mendes,881.435.218-69,81,Feminino,Recife,PE
Ana Cecilia Moraes,757.734.263-74,42,Feminino,Belem,PA
Claudia Milena Carolina Corte Real,164.500.753-76,54,Feminino,Brasilia,DF
Brenda Flavia Tania Silva,948.951.936-75,65,Feminino,Teresina,PI
Antonella Malu Emanuelly Mendes,204.091.795-07,75,Feminino,Maceio,AL
Sebastiao Luiz Emanuel Baptista,054.914.408-09,87,Masculino,Rio Branco,AC
Silvana Cecilia Simone Corte Real,096.247.841-59,15,Feminino,Ribeiropolis,SE
Jose Luiz Carvalho,415.473.513-65,28,Masculino,Boa Vista,RR
Benedita Juliana Almada,806.615.009-18,86,Feminino,Volta Redonda,RJ
Julio Manoel Diogo Oliveira,854.640.160-82,60,Masculino,Brasilia,DF
Maite Raquel Marcela Silveira,961.936.030-34,15,Feminino,Cuiaba,MT
Jose Benjamin Isaac Castro,106.827.257-06,68,Masculino,Ananindeua,PA
Julio Isaac Almeida,543.915.194-02,20,Masculino,Maceio,AL
Renato Carlos Eduardo Goncalves,054.230.655-77,54,Masculino,Santana,AP
Eduardo Luiz Carlos da Mota,403.755.010-53,38,Masculino,Brasilia,DF
Mateus Diogo Thiago da Paz,089.059.299-31,74,Masculino,Belo Jardim,PE
Sabrina Marlene Isabelle Aparicio,271.132.934-84,36,Feminino,Recife,PE
Rosa Giovana da Cunha,051.625.647-53,23,Feminino,Manaus,AM
Sophia Gabriela Heloise Rezende,830.349.038-98,82,Feminino,Parnaiba,PI
Nelson Samuel Roberto Mendes,487.467.175-60,80,Masculino,Sao Mateus,ES
Alessandra Liz Luciana da Mota,495.575.951-32,45,Feminino,Macapa,AP
Sueli Simone Eloa Souza,768.680.798-34,76,Feminino,Imperatriz,MA
Josefa Isis Heloisa Araujo,177.750.202-02,16,Feminino,Passo Fundo,RS
Ana Raquel Josefa Ramos,034.064.083-97,11,Feminino,Goiania,GO
Yago Kevin Gomes,962.364.084-67,84,Masculino,Fortaleza,CE
Maya Louise Evelyn Moraes,201.757.933-52,52,Feminino,Santana,AP
Kevin Yago Pinto,765.627.070-13,30,Masculino,Varzea Grande,MT
Lorena Nair Lorena Costa,701.811.103-00,49,Feminino,Brasilia,DF
Mariah Ester Francisca Aragao,894.042.070-55,52,Feminino,Boa Vista,RR
Henrique Lucas Oliveira,675.277.642-68,53,Masculino,Goiania,PR
Tiago Henrique Gomes,848.080.843-86,56,Masculino,Goiania,CE
Mateus Henrique Martins,588.185.603-01,19,Masculino,Sao Paulo,GO
Joao Clara Silva,608.281.108-97,14,Masculino,Goiania,SP
Julia Tiago Souza,534.809.409-38,43,Feminino,Belem,CE
Tiago Joao Almeida,280.645.306-76,10,Masculino,Belem,CE
Clara Tiago Martins,587.982.728-90,27,Feminino,Goiania,PA
Maria Maria Oliveira,340.068.169-24,22,Feminino,Belem,RJ
Pedro Henrique Araujo,002.448.568-73,63,Masculino,Belem,PE
Rafael Lucas Souza,537.240.455-69,69,Masculino,Sao Paulo,AM
Aline Julia Rodrigues,620.781.463-99,12,Feminino,Curitiba,PE
Lucas Lucas Araujo,083.434.621-53,66,Masculino,Sao Paulo,RJ
Lucas Maria Costa,400.638.765-14,73,Masculino,Manaus,SP
Isabela Mateus Oliveira,555.156.902-59,50,Feminino,Sao Paulo,GO
Marcos Patricia Araujo,469.004.832-03,1,Masculino,Rio de Janeiro,RJ
Aline Pedro Gomes,027.087.377-07,36,Feminino,Sao Paulo,AM
Beatriz Marcos Silva,969.750.893-94,21,Feminino,Belem,GO
Tiago Clara Costa,495.613.477-22,32,Masculino,Goiania,AM
Beatriz Lucas Costa,033.005.395-55,16,Feminino,Recife,GO
Henrique Clara Costa,993.134.391-59,17,Masculino,Goiania,SP
Mateus Ana Rodrigues,512.595.249-41,37,Masculino,Fortaleza,AM
Pedro Pedro Almeida,551.756.460-74,6,Masculino,Rio de Janeiro,PE
Pedro Beatriz Oliveira,941.615.692-12,62,Masculino,Goiania,PR
Isabela Beatriz Almeida,884.020.811-96,60,Feminino,Belem,SP
Clara Larissa Rodrigues,493.746.378-87,56,Feminino,Rio de Janeiro,AM
Isabela Joao Gomes,200.921.405-92,39,Feminino,Rio de Janeiro,RJ
Joao Clara Oliveira,350.733.473-56,15,Masculino,Fortaleza,PA
Henrique Clara Gomes,721.370.260-37,10,Masculino,Manaus,SP
Ana Patricia Martins,709.904.791-50,85,Feminino,Belem,PR
Ana Ana Almeida,678.684.266-88,29,Feminino,Manaus,PE
Ana Ana Martins,389.309.147-88,50,Feminino,Fortaleza,RJ
Julia Clara Souza,111.632.140-60,67,Feminino,Rio de Janeiro,CE
Marcos Tiago Araujo,940.191.902-72,32,Masculino,Goiania,PR
Maria Maria Gomes,629.856.035-89,58,Feminino,Curitiba,CE
Pedro Marcos Gomes,494.130.778-35,32,Masculino,Sao Paulo,CE
Clara Marcos Araujo,584.158.541-00,37,Feminino,Fortaleza,PR
Bruno Joao Costa,634.099.739-66,51,Masculino,Goiania,SP
Clara Patricia Martins,172.354.709-79,77,Feminino,Sao Paulo,AM
Mateus Julia Martins,616.737.615-02,34,Masculino,Rio de Janeiro,PA
Julia Beatriz Costa,610.142.657-72,84,Feminino,Recife,RJ
Pedro Beatriz Gomes,042.168.679-62,72,Masculino,Fortaleza,CE
Rafael Isabela Silva,730.743.258-97,31,Masculino,Sao Paulo,RJ
Tiago Patricia Rodrigues,191.436.270-82,12,Masculino,Curitiba,PR
Aline Tiago Rodrigues,779.558.391-77,35,Feminino,Manaus,PE
Bruno Tiago Costa,099.560.078-42,81,Masculino,Belem,SP
Beatriz Joao Martins,779.788.635-18,28,Feminino,Sao Paulo,PE
Ana Mateus Costa,893.073.585-56,59,Feminino,Recife,SP
Maria Ana Rodrigues,826.478.745-63,61,Feminino,Goiania,PR
Joao Larissa Rodrigues,590.376.753-53,29,Masculino,Sao Paulo,PR
Lucas Isabela Rodrigues,178.342.018-64,83,Masculino,Manaus,PR
Pedro Lucas Costa,788.282.781-76,20,Masculino,Manaus,PR
Henrique Marcos Almeida,648.196.035-29,33,Masculino,Manaus,GO
Larissa Lucas Araujo,378.884.684-08,48,Feminino,Manaus,PR
Clara Marcos Souza,734.223.959-12,16,Feminino,Sao Paulo,AM
Isabela Maria Martins,503.542.504-86,66,Feminino,Recife,GO
Rafael Aline Souza,531.395.800-28,90,Masculino,Manaus,RJ
Lucas Henrique Silva,631.146.296-18,54,Masculino,Goiania,GO
Pedro Bruno Costa,776.712.790-00,14,Masculino,Fortaleza,PE
Rafael Larissa Gomes,759.919.557-59,89,Masculino,Rio de Janeiro,PE
Rafael Lucas Costa,628.791.190-93,49,Masculino,Curitiba,GO
Patricia Henrique Silva,283.726.440-36,82,Feminino,Manaus,SP
Clara Clara Rodrigues,040.982.762-30,48,Feminino,Rio de Janeiro,SP
Isabela Pedro Souza,789.991.434-18,44,Feminino,Fortaleza,GO
Tiago Mateus Rodrigues,126.049.381-02,79,Masculino,Rio de Janeiro,CE
Tiago Lucas Almeida,952.572.223-86,47,Masculino,Belem,PA
Beatriz Tiago Souza,649.094.900-65,79,Feminino,Recife,PR
Bruno Henrique Silva,030.749.295-63,73,Masculino,Belem,RJ
Julia Joao Souza,434.074.662-75,69,Feminino,Sao Paulo,PA
Larissa Bruno Araujo,151.083.865-33,51,Feminino,Rio de Janeiro,AM
Marcos Larissa Gomes,208.691.098-68,82,Masculino,Goiania,SP
Ana Tiago Oliveira,950.238.588-88,90,Feminino,Sao Paulo,GO
Pedro Henrique Silva,403.798.109-02,51,Masculino,Recife,CE
Rafael Patricia Gomes,910.532.174-82,73,Masculino,Sao Paulo,PR
Clara Aline Almeida,525.335.310-86,25,Feminino,Fortaleza,SP
Rafael Lucas Costa,318.343.181-25,56,Masculino,Belem,CE
Rafael Tiago Costa,825.943.872-49,30,Masculino,Curitiba,PE
Aline Mateus Araujo,086.240.844-38,45,Feminino,Goiania,SP
Aline Patricia Oliveira,574.204.982-75,24,Feminino,Belem,SP
Aline Julia Oliveira,346.008.950-14,64,Feminino,Belem,AM
Isabela Beatriz Araujo,984.966.362-85,76,Feminino,Goiania,PE
Joao Isabela Almeida,080.983.837-13,41,Masculino,Recife,PR
Clara Patricia Martins,127.382.001-93,72,Feminino,Curitiba,PA
Ana Maria Souza,104.045.024-94,85,Feminino,Curitiba,PA
Patricia Henrique Souza,970.073.537-10,44,Feminino,Curitiba,SP
Rafael Larissa Araujo,008.023.676-20,51,Masculino,Rio de Janeiro,SP
Isabela Pedro Silva,019.397.505-13,77,Feminino,Manaus,GO
Henrique Tiago Araujo,978.551.119-25,85,Masculino,Curitiba,RJ
Isabela Aline Oliveira,727.662.537-12,53,Feminino,Goiania,AM
Patricia Ana Martins,529.582.324-61,82,Feminino,Manaus,PE
Rafael Pedro Rodrigues,474.373.314-92,75,Masculino,Rio de Janeiro,PE
Tiago Henrique Costa,133.953.824-41,46,Masculino,Manaus,GO
Tiago Clara Araujo,368.104.717-23,50,Masculino,Curitiba,RJ
Henrique Bruno Oliveira,901.343.216-87,73,Masculino,Goiania,PE
Larissa Ana Martins,990.189.832-96,68,Feminino,Goiania,SP
Bruno Julia Costa,551.743.488-84,78,Masculino,Belem,AM
Joao Ana Costa,130.920.610-82,64,Masculino,Fortaleza,RJ
Tiago Marcos Costa,728.682.773-72,64,Masculino,Goiania,SP
Maria Tiago Gomes,246.009.502-97,62,Feminino,Recife,PA
Larissa Patricia Martins,244.663.895-47,71,Feminino,Sao Paulo,PA
Bruno Bruno Gomes,677.062.406-68,9,Masculino,Manaus,AM
